OccMain,OccSub,OccMid,OccMinor,OccCodeAgg,1985,1990,1995,2000,2005,ShortTitle,MainTitle,MidTitle,MinorTitle,MinorTitleLabel,,,,,,,
A,10,107,1033,Agg033,1985030,1990031,1995031,2000034,2005035,Kindergarten teachers,,TEACHERS,Kindergarten teachers,Kindergarten teachers,,,,,,,
A,10,107,1034,Agg034,1985031,1990032,1995032,2000035,2005036,Elementary school teachers,,,Elementary school teachers,Primary school teachers,,,,,,,
A,10,107,1035,Agg035,1985032,1990033,1995033,2000036,2005037,Junior high school teachers,,,Junior high school teachers,Junior high teachers,,,,,,,
A,10,107,1036,Agg036,1985033,1990034,1995034,2000037,2005038,Senior high school teachers,,,Senior high school teachers,Senior high teachers,,,,,,,
A,10,107,1037,Agg037,1985034,1990035,1995035,2000038,2005039,University professors,,,University professors,University professors,,,,,,,
A,10,107,1038,Agg038,1985035,1990036,1995036,2000039,2005040,"Teachers at schools for the blind, deaf or handicapped",,,"Teachers at schools for the blind, deaf or handicapped",Special needs teachers,,,,,,,
A,10,107,1039,Agg039,1985036,1990037,1995037,2000040,2005041,Other teachers,,,Other teachers,Teachers NEC,,,,,,,
A,10,108,1040,Agg040,1985037,1990038,1995038,2000041,2005042,Workers in religion,,WORKERS IN RELIGION,Workers in religion,Religious professionals,,,,,,,
A,10,109,1041,Agg041,1985038,1990039,1995039,2000042,2005043,Writers and authors,,"WRITERS, JOURNALISTS AND EDITORS",Writers and authors,Authors and related writers,,,,,,,
A,10,109,1042,Agg042,1985039,1990040,1995040,2000043,2005044,Journalists and editors,,,Journalists and editors,Journalists and editors,,,,,,,
A,10,110,1043,Agg043,1985040,1990041,1995041,2000044,2005045,"Sculptors, painters and industrial artists",,"ARTISTS, PHOTOGRAPHERS AND DESIGNERS","Sculptors, painters and industrial artists","Sculptors, painters, artists",,,,,,,
A,10,110,1044,Agg044,1985041,1990042,1995042,2000045,2005046,Designers,,,Designers,Designers,,,,,,,
A,10,110,1045,Agg045,1985042,1990043,1995043,2000046,2005047,Photographers,,,Photographers,Photographers,,,,,,,
A,10,111,1046,Agg046,1985043,1990044,1995044,2000047,2005048,Musicians (exc private lessons),,MUSICIANS AND STAGE DESIGNERS,Musicians (except for private lessons),Musicians,,,,,,,
A,10,111,1047,Agg047,1985044,1990045,1995045,2000048,2005049,Musicians (private lessons),,,Musicians (for private lessons),Music instructors,,,,,,,
A,10,111,1048,Agg048,1985045,1990046,1995046,2000049,2005050,"Actors, dancers and performers (except for private lessons)",,,"Actors, dancers and performers (except for private lessons)","Actors, dancers",,,,,,,
A,10,111,1049,Agg049,1985046,1990047,1995047,2000050,2005051,"Actors, dancers and performers (for private lessons)",,,"Actors, dancers and performers (for private lessons)","Acting, dancing instructors",,,,,,,
A,10,112,1050,Agg050,1985051,1990048,1995048,2000051,2005052,Private tutors (for study),,OTHER SPECIALSTS AND TECHNICAL WORKERS,Private tutors (for study),Private tutors (after school),,,,,,,
A,10,112,1051,Agg051,1985052,1990049,1995049,2000052,2005053,Private tutors (NOC),,,Private tutors (not classified elsewhere),Private tutors NEC,,,,,,,
A,10,112,1052,Agg052,1985049,1990050,1995050,2000053,2005054,Sports professionals (except for private lessons),,,Sports professionals (except for private lessons),Professional athletes,,,,,,,
A,10,112,1053,Agg053,1985050,1990051,1995051,2000054,2005055,Sports trainers,,,Sports professionals (for private lessons),Sports instructors,,,,,,,
A,10,112,1054,Agg054,1985053,1990052,1995052,2000055,2005056,Specialist and technical workers not classified elsewhere,,,Specialist and technical workers not classified elsewhere,Professionals NEC,,,,,,,
B,10,113,1055,Agg055,1985054,1990053,1995053,2000056,2005057,Managemant public servants,ADMINISTRATIVE AND MANAGERIAL WORKERS,MANAGEMENT PUBLIC SERVANTS,Managemant public servants,Management public servants,,,,,,,
B,10,114,1056,Agg056,1985055,1990054,1995054,2000057,2005058,Company officers,,"OFFICERS OF COMPANIES, ORGANIZATION, etc.",Company officers,Company officers,,,,,,,
B,10,114,1057,Agg057,1985056,1990055,1995055,2000058,2005059,Officers of other corporations and organization,,,Officers of other corporations and organization,External officers,,,,,,,
B,10,115,1058,Agg058,1985057,1990056,1995056,2000059,2005060,Managers of companies and corporations,,OTHER ADMINISTRATIVE AND MANAGERIAL WORKERS,Managers of companies and corporations,Managers of companies,,,,,,,
B,10,115,1059,Agg059,1985058,NA,NA,NA,NA,Stationmasters,,,,NA,,,,,,,
B,10,115,1059,Agg059,1985059,NA,NA,NA,NA,Post office managers,,,,NA,,,,,,,
